finca;variedad;lote;planta;diamF
tdb;sj;l2;sj2-7;17,9
tdb;sj;l2;sj2-7;18,1
tdb;sj;l2;sj2-7;17,7
tdb;sj;l2;sj2-7;17,3
tdb;sj;l2;sj2-7;16,1
tdb;sj;l2;sj2-7;16,45
tdb;sj;l2;sj2-7;14,3
tdb;sj;l2;sj2-7;16,7
tdb;sj;l2;sj2-7;13,3
tdb;sj;l2;sj2-7;16,2
tdb;sj;l2;sj2-6;16,15
tdb;sj;l2;sj2-6;16,8
tdb;sj;l2;sj2-6;17,45
tdb;sj;l2;sj2-6;16,95
tdb;sj;l2;sj2-6;17,4
tdb;sj;l2;sj2-6;17,1
tdb;sj;l2;sj2-6;16,5
tdb;sj;l2;sj2-6;16,45
tdb;sj;l2;sj2-6;15,4
tdb;sj;l2;sj2-6;15,8
tdb;sj;l2;sj2-6;17,05
tdb;sj;l2;sj2-6;15,7
tdb;sj;l2;sj2-2;18,35
tdb;sj;l2;sj2-2;16,1
tdb;sj;l2;sj2-2;18
tdb;sj;l2;sj2-2;18,85
tdb;sj;l2;sj2-2;18,4
tdb;sj;l2;sj2-2;14
tdb;sj;l2;sj2-2;19,35
tdb;sj;l2;sj2-2;18,2
tdb;sj;l2;sj2-2;17,9
tdb;sj;l2;sj2-2;18,4
tdb;sj;l2;sj2-2;19,5
tdb;sj;l2;sj2-2;18,2
tdb;sj;l2;sj2-1;18,55
tdb;sj;l2;sj2-1;15,95
tdb;sj;l2;sj2-1;15,65
tdb;sj;l2;sj2-1;16,6
tdb;sj;l2;sj2-1;15,8
tdb;sj;l2;sj2-1;16
tdb;sj;l2;sj2-1;17,9
tdb;sj;l2;sj2-1;18,65
tdb;sj;l2;sj2-1;17,8
tdb;sj;l2;sj2-1;16,9
tdb;sj;l2;sj2-1;16,5
tdb;sj;l2;sj2-1;18,2
tdb;sj;l2;sj2-5;20,15
tdb;sj;l2;sj2-5;15,45
tdb;sj;l2;sj2-5;16,8
tdb;sj;l2;sj2-5;16,1
tdb;sj;l2;sj2-5;16,55
tdb;sj;l2;sj2-5;15,9
tdb;sj;l2;sj2-5;16,85
tdb;sj;l2;sj2-5;15,95
tdb;sj;l2;sj2-5;15,75
tdb;sj;l2;sj2-5;16,35
tdb;sj;l2;sj2-5;16,8
tdb;sj;l2;sj2-5;16,75
tdb;sj;l2;sj2-4;17,5
tdb;sj;l2;sj2-4;16,55
tdb;sj;l2;sj2-4;19,2
tdb;sj;l2;sj2-4;17,7
tdb;sj;l2;sj2-4;14,9
tdb;sj;l2;sj2-4;17,95
tdb;sj;l2;sj2-4;16,45
tdb;sj;l2;sj2-4;16,4
tdb;sj;l2;sj2-4;18,8
tdb;sj;l2;sj2-4;15,3
tdb;sj;l2;sj2-4;18,15
tdb;sj;l2;sj2-3;16,45
